politician/institution,date,answer,pct_estimate,lo,hi
Supreme Court,2024-01-25,Disapprove,51.10405052776815,45.44129124563159,56.766809809904714
Supreme Court,2024-01-24,Approve,39.698702943081216,34.65114402709632,44.74626185906611
Supreme Court,2024-01-24,Disapprove,51.10502696243527,45.44232249996995,56.76773142490059
Supreme Court,2024-01-23,Approve,39.69870099704154,34.651142202831124,44.74625979125196
Supreme Court,2024-01-23,Disapprove,51.10489470906454,45.442191101061105,56.76759831706797
Supreme Court,2024-01-22,Approve,39.56954485081435,34.545266640493715,44.59382306113499
Supreme Court,2024-01-22,Disapprove,50.934141142384455,45.24614305093938,56.62213923382953
Supreme Court,2024-01-21,Approve,39.56954485081435,34.545266640493715,44.59382306113499
Supreme Court,2024-01-21,Disapprove,50.934141142384455,45.24614305093938,56.62213923382953
Supreme Court,2024-01-20,Approve,39.56954485081435,34.545266640493715,44.59382306113499
Supreme Court,2024-01-20,Disapprove,50.934141142384455,45.24614305093938,56.62213923382953
Supreme Court,2024-01-19,Approve,39.57084538764542,34.54656717732478,44.59512359796606
Supreme Court,2024-01-19,Disapprove,50.932197844558445,45.24419975311337,56.62019593600352
Supreme Court,2024-01-18,Approve,39.57084538764542,34.54656717732478,44.59512359796606
Supreme Court,2024-01-18,Disapprove,50.93219784455845,45.24419975311338,56.620195936003526
Supreme Court,2024-01-17,Approve,39.55719445922729,34.5336175869937,44.58077133146088
Supreme Court,2024-01-17,Disapprove,50.952815378102684,45.26549367286245,56.64013708334292
Supreme Court,2024-01-16,Approve,39.55851536085316,34.53493938574392,44.582091335962396
Supreme Court,2024-01-16,Disapprove,50.95085663562793,45.26353890095381,56.638174370302046
Supreme Court,2024-01-15,Approve,39.589970070514944,34.55541104900215,44.624529092027736
Supreme Court,2024-01-15,Disapprove,51.17057455393416,45.48877050317234,56.85237860469598
Supreme Court,2024-01-14,Approve,39.58997007051495,34.55541104900216,44.62452909202774
Supreme Court,2024-01-14,Disapprove,51.17057455393416,45.48877050317234,56.85237860469598
Supreme Court,2024-01-13,Approve,39.589970070514944,34.55541104900215,44.624529092027736
Supreme Court,2024-01-13,Disapprove,51.17057455393416,45.48877050317234,56.85237860469598
Supreme Court,2024-01-12,Approve,39.589970070514944,34.55541104900215,44.624529092027736
Supreme Court,2024-01-12,Disapprove,51.1701051597647,45.48830110900288,56.85190921052652
Supreme Court,2024-01-11,Approve,39.589970070514944,34.55541104900215,44.624529092027736
Supreme Court,2024-01-11,Disapprove,51.1701051597647,45.48830110900288,56.85190921052652
Supreme Court,2024-01-10,Approve,39.59029172948294,34.555675970719214,44.62490748824667
Supreme Court,2024-01-10,Disapprove,51.16833076445795,45.48650909466055,56.85015243425535
Supreme Court,2024-01-09,Approve,39.590272980651164,34.55566058022072,44.62488538108161
Supreme Court,2024-01-09,Disapprove,51.16839682996096,45.48657679226652,56.850216867655405
Supreme Court,2024-01-08,Approve,38.07493805894689,33.088725562133185,43.0611505557606
Supreme Court,2024-01-08,Disapprove,52.72754566393925,47.0649299209779,58.3901614069006
Supreme Court,2024-01-07,Approve,38.07493805894689,33.088725562133185,43.0611505557606
Supreme Court,2024-01-07,Disapprove,52.72754566393925,47.0649299209779,58.3901614069006
Supreme Court,2024-01-06,Approve,38.074938058946884,33.08872556213318,43.06115055576059
Supreme Court,2024-01-06,Disapprove,52.72754566393925,47.0649299209779,58.3901614069006
Supreme Court,2024-01-05,Approve,38.074938058946884,33.08872556213318,43.06115055576059
Supreme Court,2024-01-05,Disapprove,52.72754566393925,47.0649299209779,58.3901614069006
Supreme Court,2024-01-04,Approve,38.074938058946884,33.08872556213318,43.06115055576059
Supreme Court,2024-01-04,Disapprove,52.72754566393925,47.0649299209779,58.3901614069006
Supreme Court,2024-01-03,Approve,38.073518350088754,33.08724974965829,43.05978695051922
Supreme Court,2024-01-03,Disapprove,52.727353504249564,47.064748215378906,58.38995879312022
Supreme Court,2024-01-02,Approve,37.674253769801396,32.67321199436645,42.675295545236345
Supreme Court,2024-01-02,Disapprove,53.09639090120003,47.426879897077654,58.76590190532241
Supreme Court,2024-01-01,Approve,37.674253769801396,32.67321199436645,42.675295545236345
Supreme Court,2024-01-01,Disapprove,53.096390901200024,47.42687989707765,58.7659019053224
Supreme Court,2023-12-31,Approve,37.6742537698014,32.673211994366454,42.67529554523635
Supreme Court,2023-12-31,Disapprove,53.09639090120003,47.426879897077654,58.76590190532241
Supreme Court,2023-12-30,Approve,37.67425367394871,32.67321190711267,42.67529544078475
Supreme Court,2023-12-30,Disapprove,53.09639108420732,47.426880087359834,58.765902081054804
Supreme Court,2023-12-29,Approve,37.675690781616765,32.674649006181816,42.676732557051714
Supreme Court,2023-12-29,Disapprove,53.09673755336046,47.42722654339918,58.766248563321746
Supreme Court,2023-12-28,Approve,37.675690781616765,32.674649006181816,42.676732557051714
Supreme Court,2023-12-28,Disapprove,53.09673755336046,47.42722654339918,58.766248563321746
Supreme Court,2023-12-27,Approve,37.67569078161677,32.67464900618182,42.67673255705172
Supreme Court,2023-12-27,Disapprove,53.09673755336047,47.427226543399186,58.76624856332175
Supreme Court,2023-12-26,Approve,37.674253769801396,32.67321199436645,42.675295545236345
Supreme Court,2023-12-26,Disapprove,53.09639075375419,47.42687974379291,58.765901763715476
Supreme Court,2023-12-25,Approve,37.674253769801396,32.67321199436645,42.675295545236345
Supreme Court,2023-12-25,Disapprove,53.0963907537542,47.42687974379292,58.76590176371548
Supreme Court,2023-12-24,Approve,37.674253769801396,32.67321199436645,42.675295545236345
Supreme Court,2023-12-24,Disapprove,53.0963907537542,47.42687974379292,58.76590176371548
Supreme Court,2023-12-23,Approve,37.674253769801396,32.67321199436645,42.675295545236345
Supreme Court,2023-12-23,Disapprove,53.0963907537542,47.42687974379292,58.76590176371548
Supreme Court,2023-12-22,Approve,37.67425367394871,32.67321190711267,42.67529544078475
Supreme Court,2023-12-22,Disapprove,53.09639093627271,47.42687993358522,58.765901938960205
Supreme Court,2023-12-21,Approve,37.67436524258444,32.67331934105152,42.67541114411737
Supreme Court,2023-12-21,Disapprove,53.09665435405205,47.42715382746783,58.766154880636265
Supreme Court,2023-12-20,Approve,37.11188265898038,32.10218082645597,42.121584491504784
Supreme Court,2023-12-20,Disapprove,53.799670831635076,48.09045192347277,59.50888973979738
Supreme Court,2023-12-19,Approve,37.1116578309206,32.10195599370945,42.121359668131745
Supreme Court,2023-12-19,Disapprove,53.799487047446846,48.090268130910964,59.50870596398273
Supreme Court,2023-12-18,Approve,37.111676915005916,32.10197387914731,42.12137995086452
Supreme Court,2023-12-18,Disapprove,53.7994920388397,48.09027348677096,59.50871059090844
Supreme Court,2023-12-17,Approve,37.39943766282861,32.38063784749357,42.418237478163654
Supreme Court,2023-12-17,Disapprove,54.53894352142545,48.82689331172104,60.25099373112987
Supreme Court,2023-12-16,Approve,37.39943766282862,32.380637847493574,42.41823747816366
Supreme Court,2023-12-16,Disapprove,54.53894352142545,48.82689331172104,60.25099373112987
