date,days_in_office,approval_rating,politician
2018-01-08,353,39.34385318597353,Donald Trump
2018-01-09,354,40.82725092435295,Donald Trump
2018-01-10,355,43.336309348617455,Donald Trump
2018-01-11,356,42.602382360395374,Donald Trump
2018-01-12,357,42.29928143712576,Donald Trump
2018-01-13,358,41.74938725490196,Donald Trump
2018-01-14,359,41.046847431240266,Donald Trump
2018-01-15,360,38.77802498336906,Donald Trump
2018-01-16,361,41.54327697477199,Donald Trump
2018-01-17,362,42.390907402247606,Donald Trump
2018-01-18,363,39.791405389161575,Donald Trump
2018-01-19,364,40.50345632200671,Donald Trump
2018-01-20,365,40.10178217821782,Donald Trump
2018-01-21,366,39.171174863387975,Donald Trump
2018-01-22,367,40.029904682967256,Donald Trump
2018-01-23,368,39.82118937644342,Donald Trump
2018-01-24,369,40.53105265932212,Donald Trump
2018-01-25,370,39.77551348250143,Donald Trump
2018-01-26,371,40.92033319094404,Donald Trump
2018-01-27,372,39.96073367022272,Donald Trump
2018-01-28,373,40.00049757281553,Donald Trump
2018-01-29,374,41.43861177884616,Donald Trump
2018-01-30,375,41.70449275362319,Donald Trump
2018-01-31,376,44.44888491008189,Donald Trump
2018-02-01,377,44.626948687818256,Donald Trump
2018-02-02,378,42.85954809800744,Donald Trump
2018-02-03,379,40.7330436236002,Donald Trump
2018-02-04,380,42.69383198437064,Donald Trump
2018-02-05,381,42.871906192460514,Donald Trump
2018-02-06,382,42.38279822281834,Donald Trump
2018-02-07,383,43.8118601930389,Donald Trump
2018-02-08,384,44.702875123395856,Donald Trump
2018-02-09,385,42.80121779859485,Donald Trump
2018-02-10,386,41.96525494566731,Donald Trump
2018-02-11,387,43.13942798774259,Donald Trump
2018-02-12,388,43.33699865902719,Donald Trump
2018-02-13,389,41.121323630372096,Donald Trump
2018-02-14,390,43.26478990520113,Donald Trump
2018-02-15,391,41.402563733256514,Donald Trump
2018-02-16,392,41.53520923520924,Donald Trump
2018-02-17,393,40.65730880929332,Donald Trump
2018-02-18,394,41.17677517032551,Donald Trump
2018-02-19,395,42.09804659238894,Donald Trump
2018-02-20,396,42.17708089097304,Donald Trump
2018-02-21,397,42.79445271275876,Donald Trump
2018-02-22,398,42.29876973326076,Donald Trump
2018-02-23,399,41.65686274509804,Donald Trump
2018-02-24,400,41.67903558535327,Donald Trump
2018-02-25,401,42.535941619585685,Donald Trump
2018-02-26,402,44.049762989972656,Donald Trump
2018-02-27,403,42.82818675352877,Donald Trump
2018-02-28,404,43.47741980886431,Donald Trump
2018-03-01,405,41.46736359730775,Donald Trump
2018-03-02,406,40.70317937701397,Donald Trump
2018-03-03,407,41.93001492219143,Donald Trump
2018-03-04,408,42.65557267591166,Donald Trump
2018-03-05,409,41.72720372359471,Donald Trump
2018-03-06,410,41.69511489992587,Donald Trump
2018-03-07,411,43.16538685179638,Donald Trump
2018-03-08,412,42.31162555161687,Donald Trump
2018-03-09,413,40.05535254445126,Donald Trump
2018-03-10,414,40.869197443951045,Donald Trump
2018-03-11,415,42.34449238704558,Donald Trump
2018-03-12,416,43.43766410701016,Donald Trump
2018-03-13,417,41.496105199759086,Donald Trump
2018-03-14,418,44.24532271954938,Donald Trump
2018-03-15,419,41.24576954069299,Donald Trump
2018-03-16,420,40.531564076690216,Donald Trump
2018-03-17,421,41.040410081161895,Donald Trump
2018-03-18,422,41.7913315821378,Donald Trump
2018-03-19,423,43.08432516530533,Donald Trump
2018-03-20,424,40.89172566034864,Donald Trump
2018-03-21,425,43.7483915149773,Donald Trump
2018-03-22,426,40.648798988622,Donald Trump
2018-03-23,427,41.32958842152872,Donald Trump
2018-03-24,428,40.12779841505696,Donald Trump
2018-03-25,429,40.47618319499053,Donald Trump
2018-03-26,430,40.45776255707762,Donald Trump
2018-03-27,431,41.17670212765957,Donald Trump
2018-03-28,432,43.86722437108333,Donald Trump
2018-03-29,433,42.57356335237207,Donald Trump
2018-03-30,434,41.24679562329035,Donald Trump
2018-03-31,435,40.2092778000267,Donald Trump
2018-04-01,436,41.82656844106464,Donald Trump
2018-04-02,437,42.46495975737781,Donald Trump
2018-04-03,438,41.49068740803028,Donald Trump
2018-04-04,439,43.27384414505312,Donald Trump
2018-04-05,440,41.2163316252792,Donald Trump
2018-04-06,441,39.87423288749016,Donald Trump
2018-04-07,442,41.0517976636044,Donald Trump
2018-04-08,443,42.19513629369092,Donald Trump
2018-04-09,444,41.36697879372074,Donald Trump
2018-04-10,445,42.02522198731501,Donald Trump
2018-04-11,446,43.93145603835169,Donald Trump
2018-04-12,447,42.80644275795253,Donald Trump
2018-04-13,448,43.11272727272727,Donald Trump
2018-04-14,449,41.93502981260647,Donald Trump
2018-04-15,450,42.532069367154136,Donald Trump
2018-04-16,451,40.89792138705546,Donald Trump
2018-04-17,452,40.90133654103181,Donald Trump
2018-04-18,453,44.330468381867874,Donald Trump
2018-04-19,454,43.15958091609663,Donald Trump
2018-04-20,455,39.98265916285614,Donald Trump
2018-04-21,456,41.36750164798945,Donald Trump
2018-04-22,457,41.72726426076833,Donald Trump
2018-04-23,458,42.4906687781703,Donald Trump
2018-04-24,459,41.58256208119827,Donald Trump
2018-04-25,460,45.163796873066296,Donald Trump
2018-04-26,461,41.52417800079228,Donald Trump
2018-04-27,462,40.8298927118017,Donald Trump
2018-04-28,463,41.96373114876187,Donald Trump
2018-04-29,464,43.10664576046315,Donald Trump
2018-04-30,465,42.69376876267748,Donald Trump
2018-05-01,466,43.95636103393113,Donald Trump
2018-05-02,467,45.30912408759124,Donald Trump
2018-05-03,468,47.94206549118388,Donald Trump
2018-05-04,469,45.20785990633272,Donald Trump
2018-05-05,470,43.910236585743,Donald Trump
2018-05-06,471,43.72994805194805,Donald Trump
2018-05-07,472,43.96768292682927,Donald Trump
2018-05-08,473,43.348187414500686,Donald Trump
2018-05-09,474,44.68012755215023,Donald Trump
2018-05-10,475,44.13279231011661,Donald Trump
2018-05-11,476,44.73735150244584,Donald Trump
2018-05-12,477,43.245031937544354,Donald Trump
2018-05-13,478,44.337671018929214,Donald Trump
2018-05-14,479,43.87045739348371,Donald Trump
2018-05-15,480,43.03941183417976,Donald Trump
2018-05-16,481,45.159916284208734,Donald Trump
2018-05-17,482,41.640384185838734,Donald Trump
2018-05-18,483,43.95897094108237,Donald Trump
2018-05-19,484,44.202721999107546,Donald Trump
2018-05-20,485,42.527554383651946,Donald Trump
2018-05-21,486,44.32531270148292,Donald Trump
2018-05-22,487,42.76633010680908,Donald Trump
2018-05-23,488,45.58656337478028,Donald Trump
2018-05-24,489,45.953691076193294,Donald Trump
2018-05-25,490,44.45468898010736,Donald Trump
2018-05-26,491,44.6517283647953,Donald Trump
2018-05-27,492,42.4178381256656,Donald Trump
2018-05-28,493,41.06649937264743,Donald Trump
2018-05-29,494,42.55886385274516,Donald Trump
2018-05-30,495,44.709992071953856,Donald Trump
2018-05-31,496,42.99963689179376,Donald Trump
2018-06-01,497,41.86404262633207,Donald Trump
2018-06-02,498,42.13681952266023,Donald Trump
2018-06-03,499,42.17652882205514,Donald Trump
2018-06-04,500,42.01998284734134,Donald Trump
2018-06-05,501,41.35930320150659,Donald Trump
2018-06-06,502,45.09751567324787,Donald Trump
2018-06-07,503,41.5963367252544,Donald Trump
2018-06-08,504,40.238692168519,Donald Trump
2018-06-09,505,40.760434173669466,Donald Trump
2018-06-10,506,42.91270176364516,Donald Trump
2018-06-11,507,43.54932755869615,Donald Trump
2018-06-12,508,42.991570093457945,Donald Trump
2018-06-13,509,45.312702450606295,Donald Trump
2018-06-14,510,43.49483394833948,Donald Trump
2018-06-15,511,43.169350411710894,Donald Trump
2018-06-16,512,44.650572972972974,Donald Trump
2018-06-17,513,43.40308329879818,Donald Trump
2018-06-18,514,43.00337761765368,Donald Trump
2018-06-19,515,43.79314565483476,Donald Trump
2018-06-20,516,44.37070971971808,Donald Trump
2018-06-21,517,42.39745063734067,Donald Trump
2018-06-22,518,42.70588896381209,Donald Trump
2018-06-23,519,42.19230484646688,Donald Trump
2018-06-24,520,42.03230135624512,Donald Trump
2018-06-25,521,42.97070683661646,Donald Trump
2018-06-26,522,41.62817290776577,Donald Trump
2018-06-27,523,44.65319650861052,Donald Trump
2018-06-28,524,42.68295302013423,Donald Trump
2018-06-29,525,41.54715465810005,Donald Trump
2018-06-30,526,41.17690343546889,Donald Trump
2018-07-01,527,43.5542372881356,Donald Trump
2018-07-02,528,43.02539193009509,Donald Trump
2018-07-03,529,42.71600647495715,Donald Trump
2018-07-04,530,46.583434753211634,Donald Trump
2018-07-05,531,44.219125939849626,Donald Trump
2018-07-06,532,43.41495617441473,Donald Trump
2018-07-07,533,41.97258566978193,Donald Trump
2018-07-08,534,43.68143280366281,Donald Trump
2018-07-09,535,42.199069410991896,Donald Trump
2018-07-10,536,42.50806098228957,Donald Trump
2018-07-11,537,44.76761762509335,Donald Trump
2018-07-12,538,41.27345940658624,Donald Trump
2018-07-13,539,42.42698513800425,Donald Trump
2018-07-14,540,42.006867523260965,Donald Trump
2018-07-15,541,43.59135507246376,Donald Trump
2018-07-16,542,42.33345724907063,Donald Trump
2018-07-17,543,42.0810522745991,Donald Trump
2018-07-18,544,44.07282844387755,Donald Trump
2018-07-19,545,42.2750513989452,Donald Trump
2018-07-20,546,44.650107103978655,Donald Trump
2018-07-21,547,42.29249876624444,Donald Trump
2018-07-22,548,42.69089217758985,Donald Trump
2018-07-23,549,42.55256512589798,Donald Trump
2018-07-24,550,42.81208053691275,Donald Trump
2018-07-25,551,43.58904283447912,Donald Trump
2018-07-26,552,43.82421441774492,Donald Trump
2018-07-27,553,43.837465510445405,Donald Trump
2018-07-28,554,42.55551614709726,Donald Trump
2018-07-29,555,43.34988522411502,Donald Trump
2018-07-30,556,43.09332323996972,Donald Trump
2018-07-31,557,42.68678398895791,Donald Trump
2018-08-01,558,44.60522242604908,Donald Trump
2018-08-02,559,42.90145368960266,Donald Trump
2018-08-03,560,43.31363346104725,Donald Trump
2018-08-04,561,44.38828461907044,Donald Trump
2018-08-05,562,42.03014765830238,Donald Trump
2018-08-06,563,43.57673824724318,Donald Trump
2018-08-07,564,44.12720674315149,Donald Trump
2018-08-08,565,44.43339276678795,Donald Trump
2018-08-09,566,43.51428441534824,Donald Trump
2018-08-10,567,43.74984136576522,Donald Trump
2018-08-11,568,40.75324675324676,Donald Trump
2018-08-12,569,42.617789356159285,Donald Trump
2018-08-13,570,44.734865223155104,Donald Trump
2018-08-14,571,43.715695331695336,Donald Trump
2018-08-15,572,45.34413640238704,Donald Trump
2018-08-16,573,44.046410745076685,Donald Trump
2018-08-17,574,43.56388864647875,Donald Trump
2018-08-18,575,43.78664310954064,Donald Trump
2018-08-19,576,43.55224268528145,Donald Trump
2018-08-20,577,42.45060567556121,Donald Trump
2018-08-21,578,44.00226389719068,Donald Trump
2018-08-22,579,43.61243776064703,Donald Trump
2018-08-23,580,42.06774247352181,Donald Trump
2018-08-24,581,43.33725614123794,Donald Trump
2018-08-25,582,40.66873536299766,Donald Trump
